Species	Species_status	Genus	Genus_status	max_ma	min_ma	site	paleolat	Referência
Sanajeh indicus	extinct	Sanajeh	extinct	72.1	66	61499	-	Zaher, H., Mohabey, D. M., Grazziotin, F. G., & Wilson Mantilla, J. A. (2023). The skull of Sanajeh indicus, a Cretaceous snake with an upper temporal bar, and the origin of ophidian wide-gaped feeding. Zoological Journal of the Linnean Society, 197(3), 656-697.
Agkistrodon piscivorous	extant	Agkistrodon	extant	0.129	0.0082	20	-	Jessee, L. D. (2023). Geometric Morphometric Analysis of Modern Viperid Vertebrae Facilitates Identification of Fossil Specimens (Master's thesis, East Tennessee State University).
Lampropeltis similis	extinct	Lampropeltis	extant	12.5	12	11118	-	Rumford, J. Fossil Snakes of Penny Creek.
Heterodon meadi	extinct	Heterodon	extant	10.3	4.9	111113	-	Jurestovsky, D. J. (2021). Small colubroids from the Late Hemphillian Gray fossil site of northeastern Tennessee. Journal of Herpetology, 55(4), 422-431.
Paleoheterodon arcuatus	extinct	Paleoheterodon	extinct	11.63	5.333	11116	-	Villa, A., & Delfino, M. GLI ANFIBI EI RETTILI DI CAVA MONTICINO (BRISIGHELLA, RA). La fauna messiniana di Cava Monticino, 55.
Seismophis septentrionalis	extinct	Seismophis	extinct	121.4	100.5	111112	-0,943	ARAUJO, A. C. C. (2022). Fósseis de serpentes (ophidia, squamata) da falésia do sismito, formação Alcântara (albiano/cenomaniano, cretáceo), do Maranhão.
Najash rionegrina	extinct	Najash	extinct	94	92	11112	-37,77	Garberoglio, F. F. (2021). Anatomía y relaciones filogenéticas de Najash rionegrina Apesteguía y Zaher, 2006 (holotipo y nuevos especímenes): un taxón clave en la evolución de las serpientes (Doctoral dissertation, Universidad de Buenos Aires).
Vipera Berus	extant	Vipera	extant	0.037	0.0306	11115	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
Natrix natrix	extant	Natrix	extant	0.037	0.0306	11115	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
Platyspondylia lepta	extinct	Platyspondylia	extinct	27.82	23.03	11111	-	Ratnikov, V. Y., & Shiyan, N. A. (2023, December). Late Pleistocene Herpetofauna from Oblazova Cave (Polish Carpathians): Additional Collection. In Doklady Earth Sciences (Vol. 513, No. Suppl 2, pp. S265-S276). Moscow: Pleiades Publishing.
Falseryx petersbuchi	extinct	Falseryx	extinct	20	16.9	11111	-	Paclík, V. (2018) Evoluce hadích společenstev oligocénu a spodního miocénu v oblasti jižního Německa.
Coluber_hungaricus	extinct	Coluber	extinct	20	16.9	11111	-	Paclík, V. (2018) Evoluce hadích společenstev oligocénu a spodního miocénu v oblasti jižního Německa.
Micrurus gallicus	extinct	Micrurus	extant	20	16.9	11111	-	Paclík, V. (2018) Evoluce hadích společenstev oligocénu a spodního miocénu v oblasti jižního Německa.
Thaumastophis missiaeni	extinct	Thaumastophis	extinct	56	47.8	11113	-	Zaher, H., Folie, A., Quadros, A. B., Rana, R. S., Kumar, K., Rose, K. D., ... & Smith, T. (2021). Additional vertebral material of Thaumastophis (Serpentes: Caenophidia) from the early Eocene of India provides new insights on the early diversification of colubroidean snakes. Geobios, 66, 35-43.
Texasophis bohemiacus	extinct	Texasophis	extinct	12.9	11.3	11114	-	Ivanov, M., Vasilyan, D., Böhme, M., & Zazhigin, V. S. (2019). Miocene snakes from northeastern Kazakhstan: new data on the evolution of snake assemblages in Siberia. Historical Biology.
Platyceps planicarinatus	extinct	Platyceps	extant	11.63	5.333	11116	-	Villa, A., & Delfino, M. GLI ANFIBI EI RETTILI DI CAVA MONTICINO (BRISIGHELLA, RA). La fauna messiniana di Cava Monticino, 55.
Pterosphenus schucherti	extinct	Pterosphenus	extinct	41.2	37.71	111110	-	Natarajan, A., Dasgupta, S., Rakshit, N., & Kashyap, Y. (2023). Taxonomic revision of the giant marine snake genus Pterosphenus Lucas, 1898, based on new fossil material from the middle Eocene (Bartonian) Harudi Formation of Kachchh (Kutch) Basin, India. Journal of Vertebrate Paleontology, 43(6), e2375332.
Pterosphenus muruntau	extinct	Pterosphenus	extinct	41.2	37.71	111111	38,58	Averianov, A. O. (2023). Pterosphenus Muruntau–valid species of Sea Snake (Squamata: Palaeophiidae) from the Middle Eocene of Uzbekistan. Zoosystematica Rossica, 32(1), 85-92.
Colombophis portai	extinct	Colombophis	extinct	13.8	11.8	11119	0,26	Alfonso-Rojas, A., Vanegas, R. D., Mariño-Morejón, E., & Cadena, E. A. (2023). Newly discovered fossils provide novel insights on the biology of the South American Miocene snake Colombophis Hoffstetter & Rage, 1977. Geodiversitas, 45(13), 377-399.
Colombophis spinosus	extinct	Colombophis	extinct	13.8	11.8	11119	0,26	Alfonso-Rojas, A., Vanegas, R. D., Mariño-Morejón, E., & Cadena, E. A. (2023). Newly discovered fossils provide novel insights on the biology of the South American Miocene snake Colombophis Hoffstetter & Rage, 1977. Geodiversitas, 45(13), 377-399.
Neonatrix elongata	extinct	Neonatrix	extinct	12.5	12	11118	39,73	Jacisin III, J. J., & Lawing, A. M. (2024). Fossil snakes of the Penny Creek Local Fauna from Webster County, Nebraska, USA, and the first record of snakes from the Early Clarendonian (12.5-12 Ma) of North America. Palaeontologia Electronica, 27(1), 1-42.
Neonatrix magna	extinct	Neonatrix	extinct	12.5	12	11118	39,73	Jacisin III, J. J., & Lawing, A. M. (2024). Fossil snakes of the Penny Creek Local Fauna from Webster County, Nebraska, USA, and the first record of snakes from the Early Clarendonian (12.5-12 Ma) of North America. Palaeontologia Electronica, 27(1), 1-42.
Tropidophis melanurus	extant	Tropidophis	extant	0.02474	0.02005	11117	-	Syromyatnikova, E., Aranda, E., & González, S. F. (2021). First insight into the diversity of snakes in the Pleistocene of Cuba. Acta Palaeontologica Polonica, 66(2), 395-407.
Drymarchon corais	extant	Drymarchon	extant	0.774	0.017	111114		Pammer, J. H., Meylan, P. A., & Hulbert, R. C. The Zeta Pond Site: A New Rancholabrean Local Fauna from Pinellas County, Florida.
Laophis crotaloides	extinct	Laophis	extinct	4.2	3.2	111115	-	Georgalis, G. L., Szyndlar, Z., Kear, B. P., & Delfino, M. (2016). New material of Laophis crotaloides, an enigmatic giant snake from Greece, with an overview of the largest fossil European vipers. Swiss Journal of Geosciences, 109(1), 103-116.
Regina alleni	extant	Regina	extant	0.774	0.017	111114	-	Pammer, J. H., Meylan, P. A., & Hulbert, R. C. The Zeta Pond Site: A New Rancholabrean Local Fauna from Pinellas County, Florida.
Farancia abacura	extant	Farancia	extant	0.774	0.017	111114	-	Pammer, J. H., Meylan, P. A., & Hulbert, R. C. The Zeta Pond Site: A New Rancholabrean Local Fauna from Pinellas County, Florida.
Crotalus adamanteus	extant	Crotalus	extant	0.774	0.017	111114	-	Pammer, J. H., Meylan, P. A., & Hulbert, R. C. The Zeta Pond Site: A New Rancholabrean Local Fauna from Pinellas County, Florida.
Gaimanophis powelli	extinct	Gaimanophis	extinct	23.04	15.98	111116	-30,465	Albino, A. (2017). A new species of Gaimanophis (Serpentes, Boidae) from the Miocene of northwestern Argentina with remarks on the Neogene boids of South America. Comptes Rendus Palevol, 16(3), 278-283.
Eoconstrictor barnesi	extinct	Eoconstrictor	extinct	48.7	41.03	111117	-	Palci, A., Onary, S., Lee, M. S., Smith, K. T., Wings, O., Rabi, M., & Georgalis, G. L. (2024). A new booid snake from the Eocene (Lutetian) Konservat-Lagerstätte of Geiseltal, Germany, and a new phylogenetic analysis of Booidea. Zoological Journal of the Linnean Society, 202(2), zlad179.
Eoconstrictor barnesi	extinct	Eoconstrictor	extinct	48.7	41.03	111117	-	Palci, A., Onary, S., Lee, M. S., Smith, K. T., Wings, O., Rabi, M., & Georgalis, G. L. (2024). A new booid snake from the Eocene (Lutetian) Konservat-Lagerstätte of Geiseltal, Germany, and a new phylogenetic analysis of Booidea. Zoological Journal of the Linnean Society, 202(2), zlad179.
Zamenis kohfidischi	extinct	Zamenis	extant	23.03	22.4	69617	-	Villa, A., Gobbi, S., & Delfino, M. (2022). Additions to the early Miocene herpetofauna of Weisenau (Germany): urodeles and squamates from a rediscovered historical collection in Italy. PalZ, 96(1), 113-127.
Bitis arietans	extant	Bitis	extant	0.130	0.08	111118	-	Biton, R., & Bailon, S. (2022). An African adder (Bitis arietans complex) at Qafzeh cave, Israel, during the early late Pleistocene (MIS 5). Journal of Quaternary Science, 37(4), 639-650.
Coronella girondica	extant	Coronella	extant	0.129	0.0082	111119	-	García-Ibaibarriaga, N., & Suárez-Bilbao, A. (2021). Los microvertebrados del yacimiento de Arenaza (Galdames, Bizkaia). Kobie. Bizkaiko Arkeologi Indusketak= Excavaciones Arqueológicas en Bizkaia, 9, 115-125.
Najash sp.	extinct	Najash	extinct	100.5	93.9	11125		Garberoglio, F. F., Apesteguía, S., Simões, T. R., Palci, A., Gómez, R. O., Nydam, R. L., ... & Caldwell, M. W. (2019). New skulls and skeletons of the Cretaceous legged snake Najash, and the evolution of the modern snake body plan. Science advances, 5(11), eaax5833.
Dinilysia patagonica	extinct	Dinilysia	extinct	85.9	83.4	11126	-41,26	Triviño, L. N., & Albino, A. M. (2015). Hallazgo de restos de la serpiente Dinilysia patagonica Smith-Woodward 1901 en una nueva localidad del Santoniano de Patagonia, Argentina. Estudios Geológicos, 71.